image,width,height,downsample_method,upsample_method,entropy_method,psnr,original_bytes,compressed_bytes,compression_ratio,bpp,time_downsample_ms,time_upsample_ms,time_encoding_ms,total_time_ms
16.png,768,512,baseline,bilinear,baseline,34.38076658034842,1179648,107055.375,11.019045050283557,2.1780471801757812,1.9795894622802734,33.69450569152832,559.7615242004395,982.2330474853516
16.png,768,512,baseline,bicubic,baseline,34.34495606270928,1179648,107055.375,11.019045050283557,2.1780471801757812,12.145280838012695,16.877412796020508,498.86417388916016,884.1171264648438
17.png,512,768,baseline,baseline,baseline,34.98624611385103,1179648,106450.0,11.081709722874589,2.1657307942708335,12.037277221679688,0.0,552.4415969848633,930.2420616149902
17.png,512,768,baseline,bilinear,baseline,35.03941909422453,1179648,106450.0,11.081709722874589,2.1657307942708335,8.59832763671875,33.73360633850098,492.08855628967285,900.9273052215576
17.png,512,768,baseline,bicubic,baseline,35.00553432125535,1179648,106450.0,11.081709722874589,2.1657307942708335,9.457111358642578,0.4448890686035156,529.5529365539551,917.3839092254639
18.png,512,768,baseline,baseline,baseline,32.37775062646151,1179648,145287.625,8.119397643123426,2.9558842976888022,20.9808349609375,0.0,610.2259159088135,1017.7781581878662
18.png,512,768,baseline,bilinear,baseline,32.459081456203805,1179648,145287.625,8.119397643123426,2.9558842976888022,1.9795894622802734,31.633615493774414,631.026029586792,1062.3576641082764
18.png,512,768,baseline,bicubic,baseline,32.39970410593693,1179648,145287.625,8.119397643123426,2.9558842976888022,7.012128829956055,0.0,581.9287300109863,984.7004413604736
19.png,512,768,baseline,baseline,baseline,33.556500247055496,1179648,115920.5,10.176353621663123,2.3584086100260415,7.999897003173828,0.0,543.5724258422852,915.4396057128906
19.png,512,768,baseline,bilinear,baseline,33.61068711307706,1179648,115920.5,10.176353621663123,2.3584086100260415,1.9826889038085938,34.03329849243164,546.7803478240967,969.0554141998291
19.png,512,768,baseline,bicubic,baseline,33.56698530787157,1179648,115920.5,10.176353621663123,2.3584086100260415,2.9838085174560547,0.0,564.5778179168701,967.6897525787354
2.png,768,512,baseline,baseline,baseline,33.79089516023136,1179648,96687.875,12.20057840758213,1.967119852701823,0.0,0.0,469.49267387390137,850.8150577545166
2.png,768,512,baseline,bilinear,baseline,34.008237613465575,1179648,96687.875,12.20057840758213,1.967119852701823,4.039764404296875,50.4765510559082,504.5449733734131,917.7076816558838
2.png,768,512,baseline,bicubic,baseline,33.826229054841306,1179648,96687.875,12.20057840758213,1.967119852701823,14.04118537902832,1.462697982788086,482.633113861084,884.0034008026123
20.png,768,512,baseline,baseline,baseline,35.006464647200836,1179648,87079.625,13.54677400138092,1.7716395060221355,16.273021697998047,16.908884048461914,600.9845733642578,1000.2081394195557
20.png,768,512,baseline,bilinear,baseline,35.082489419749365,1179648,87079.625,13.54677400138092,1.7716395060221355,7.999658584594727,33.53738784790039,499.81689453125,900.662899017334
20.png,768,512,baseline,bicubic,baseline,35.0310241087941,1179648,87079.625,13.54677400138092,1.7716395060221355,0.0,0.0,470.3369140625,884.1075897216797
21.png,768,512,baseline,baseline,baseline,33.376769771501536,1179648,116723.25,10.106366983441601,2.3747406005859375,0.0,0.0,552.2010326385498,1017.686128616333
21.png,768,512,baseline,bilinear,baseline,33.44504448217704,1179648,116723.25,10.106366983441601,2.3747406005859375,8.004426956176758,33.5085391998291,529.984712600708,967.4580097198486
21.png,768,512,baseline,bicubic,baseline,33.39789739670744,1179648,116723.25,10.106366983441601,2.3747406005859375,15.803813934326172,16.838550567626953,537.8706455230713,967.5083160400391
22.png,768,512,baseline,baseline,baseline,33.168847276153805,1179648,121749.5,9.689140407147462,2.4769999186197915,3.054380416870117,17.68946647644043,550.072193145752,967.8492546081543
22.png,768,512,baseline,bilinear,baseline,33.27096116858537,1179648,121749.5,9.689140407147462,2.4769999186197915,7.999658584594727,33.78796577453613,516.4923667907715,934.3445301055908
22.png,768,512,baseline,bicubic,baseline,33.19168376241927,1179648,121749.5,9.689140407147462,2.4769999186197915,13.696432113647461,17.064809799194336,565.3221607208252,950.8106708526611
23.png,768,512,baseline,baseline,baseline,35.91661771509859,1179648,82252.625,14.341767208037433,1.6734339396158855,11.01064682006836,16.65949821472168,473.071813583374,833.9645862579346
23.png,768,512,baseline,bilinear,baseline,36.20553856537071,1179648,82252.625,14.341767208037433,1.6734339396158855,16.97564125061035,50.25625228881836,497.4532127380371,900.8057117462158
23.png,768,512,baseline,bicubic,baseline,35.990664689802344,1179648,82252.625,14.341767208037433,1.6734339396158855,10.286808013916016,16.95561408996582,481.75597190856934,859.7958087921143
24.png,768,512,baseline,baseline,baseline,32.79682583019154,1179648,142098.0,8.301650973271967,2.8909912109375,7.836341857910156,15.422582626342773,583.2576751708984,982.2194576263428
24.png,768,512,baseline,bilinear,baseline,32.85390440515237,1179648,142098.0,8.301650973271967,2.8909912109375,8.070945739746094,50.42576789855957,582.6230049133301,1031.2612056732178
24.png,768,512,baseline,bicubic,baseline,32.81339201043674,1179648,142098.0,8.301650973271967,2.8909912109375,8.010149002075195,1.4526844024658203,566.5900707244873,967.7517414093018
3.png,768,512,baseline,baseline,baseline,35.635469137873564,1179648,87257.625,13.519139444833618,1.7752609252929688,16.57724380493164,0.0,529.6452045440674,950.9103298187256
3.png,768,512,baseline,bilinear,baseline,35.77383164349638,1179648,87257.625,13.519139444833618,1.7752609252929688,2.9838085174560547,33.559322357177734,463.5326862335205,867.7306175231934
3.png,768,512,baseline,bicubic,baseline,35.6733765230969,1179648,87257.625,13.519139444833618,1.7752609252929688,0.0,17.334699630737305,508.46362113952637,866.9252395629883
4.png,512,768,baseline,baseline,baseline,34.1399006404665,1179648,104676.0,11.269517367878024,2.129638671875,9.762763977050781,0.0,484.752893447876,879.1723251342773
4.png,512,768,baseline,bilinear,baseline,34.28880846487513,1179648,104676.0,11.269517367878024,2.129638671875,4.00233268737793,49.44133758544922,530.2472114562988,967.4074649810791
4.png,512,768,baseline,bicubic,baseline,34.16780546899635,1179648,104676.0,11.269517367878024,2.129638671875,0.0,0.0,531.3255786895752,917.7143573760986
5.png,768,512,baseline,baseline,baseline,31.680160466409024,1179648,178033.75,6.625979624649821,3.622105916341146,8.998632431030273,0.0,660.5944633483887,1085.8688354492188
5.png,768,512,baseline,bilinear,baseline,31.77827672940614,1179648,178033.75,6.625979624649821,3.622105916341146,19.16956901550293,50.41241645812988,648.0143070220947,1084.4218730926514
5.png,768,512,baseline,bicubic,baseline,31.71116386711603,1179648,178033.75,6.625979624649821,3.622105916341146,6.996393203735352,16.94512367248535,650.648832321167,1067.960262298584
6.png,768,512,baseline,baseline,baseline,32.81717915845752,1179648,132629.0,8.894344374156482,2.6983439127604165,12.075185775756836,0.0,584.1612815856934,999.4187355041504
6.png,768,512,baseline,bilinear,baseline,32.866017083987884,1179648,132629.0,8.894344374156482,2.6983439127604165,8.011579513549805,50.19187927246094,549.8466491699219,951.1497020721436
6.png,768,512,baseline,bicubic,baseline,32.83303805038811,1179648,132629.0,8.894344374156482,2.6983439127604165,11.645317077636719,16.3726806640625,570.9786415100098,967.7326679229736
7.png,768,512,baseline,baseline,baseline,35.037452371225626,1179648,103517.75,11.395610897647988,2.106074015299479,18.645048141479492,16.3571834564209,526.8213748931885,897.1409797668457
7.png,768,512,baseline,bilinear,baseline,35.22011105242311,1179648,103517.75,11.395610897647988,2.106074015299479,0.8656978607177734,33.38313102722168,519.676685333252,934.3850612640381
7.png,768,512,baseline,bicubic,baseline,35.055006054595815,1179648,103517.75,11.395610897647988,2.106074015299479,0.0,1.0833740234375,527.3432731628418,950.9849548339844
8.png,768,512,baseline,baseline,baseline,31.578179810604098,1179648,171625.875,6.873369181657486,3.4917373657226562,7.994890213012695,0.0,617.2561645507812,1050.8921146392822
8.png,768,512,baseline,bilinear,baseline,31.639659465078665,1179648,171625.875,6.873369181657486,3.4917373657226562,13.868570327758789,33.573150634765625,658.0221652984619,1083.909273147583
8.png,768,512,baseline,bicubic,baseline,31.595004846524045,1179648,171625.875,6.873369181657486,3.4917373657226562,13.793468475341797,15.692472457885742,622.6415634155273,1031.5220355987549
9.png,512,768,baseline,baseline,baseline,35.45302911100139,1179648,86868.125,13.57975667139126,1.7673365275065105,8.738994598388672,0.0,457.64780044555664,830.3482532501221
9.png,512,768,baseline,bilinear,baseline,35.55666589177507,1179648,86868.125,13.57975667139126,1.7673365275065105,0.0,50.292015075683594,475.2018451690674,867.1722412109375
9.png,512,768,baseline,bicubic,baseline,35.47402369421516,1179648,86868.125,13.57975667139126,1.7673365275065105,12.33363151550293,0.0,499.2067813873291,900.8870124816895
Lena.png,512,512,baseline,baseline,baseline,33.29787931792239,786432,68268.25,11.519732818696832,2.0833816528320312,0.0,4.904508590698242,352.7498245239258,633.9607238769531
Lena.png,512,512,baseline,bilinear,baseline,33.44466946471191,786432,68268.25,11.519732818696832,2.0833816528320312,0.0,17.172574996948242,385.37025451660156,651.2236595153809
Lena.png,512,512,baseline,bicubic,baseline,33.312808333517346,786432,68268.25,11.519732818696832,2.0833816528320312,0.9927749633789062,16.369342803955078,354.0079593658447,600.6498336791992
