image,width,height,method,psnr,original_bytes,compressed_bytes,compression_ratio,bpp,time_encoding_ms,total_time_ms
1.png,768,512,raw,31.61238180763755,1179648,884736.0,1.3333333333333333,18.0,141.1750316619873,325.61206817626953
1.png,768,512,rle,31.61238180763755,1179648,184924.0,6.37909627738963,3.7622884114583335,183.48431587219238,379.5609474182129
1.png,768,512,huff,31.61238180763755,1179648,39922.0,29.548820199388807,0.8122151692708334,280.5299758911133,501.1000633239746
1.png,768,512,huff_global,31.61238180763755,1179648,65810.5,17.924920795313817,1.3389180501302083,264.3280029296875,492.85197257995605
1.png,768,512,huff_dpcm,31.61238180763755,1179648,38677.875,30.499297078756264,0.7869033813476562,274.7008800506592,517.4050331115723
10.png,512,768,raw,35.15868401661326,1179648,884736.0,1.3333333333333333,18.0,161.58533096313477,335.9692096710205
10.png,512,768,rle,35.15868401661326,1179648,99830.0,11.816568165882,2.0310465494791665,170.9909439086914,380.3119659423828
10.png,512,768,huff,35.15868401661326,1179648,19361.5,60.92751078170596,0.3939107259114583,226.98092460632324,517.9390907287598
10.png,512,768,huff_global,35.15868401661326,1179648,38326.25,30.779113531848278,0.7797495524088541,260.41507720947266,475.1009941101074
10.png,512,768,huff_dpcm,35.15868401661326,1179648,18439.25,63.97483628672533,0.3751475016276042,227.3409366607666,437.0696544647217
11.png,768,512,raw,33.30867698475468,1179648,884736.0,1.3333333333333333,18.0,137.7251148223877,319.044828414917
11.png,768,512,rle,33.30867698475468,1179648,136670.0,8.631360210726568,2.7805582682291665,168.226957321167,363.0228042602539
11.png,768,512,huff,33.30867698475468,1179648,27930.125,42.23568637805953,0.5682398478190104,256.9880485534668,466.8889045715332
11.png,768,512,huff_global,33.30867698475468,1179648,49621.625,23.77286112657536,1.0095545450846355,254.78386878967285,472.37396240234375
11.png,768,512,huff_dpcm,33.30867698475468,1179648,26591.875,44.3612193574165,0.5410130818684896,238.76619338989258,449.04184341430664
12.png,768,512,raw,35.30016247157838,1179648,884736.0,1.3333333333333333,18.0,184.6160888671875,355.8657169342041
12.png,768,512,rle,35.30016247157838,1179648,94548.0,12.47671024241655,1.923583984375,156.7068099975586,344.6962833404541
12.png,768,512,huff,35.30016247157838,1179648,17832.875,66.15018610291386,0.36281077067057294,220.21794319152832,420.2079772949219
12.png,768,512,huff_global,35.30016247157838,1179648,36567.75,32.259244826383906,0.7439727783203125,244.8580265045166,453.11832427978516
12.png,768,512,huff_dpcm,35.30016247157838,1179648,16479.875,71.58112546363367,0.33528391520182294,215.5451774597168,416.5990352630615
13.png,768,512,raw,30.644963391581253,1179648,884736.0,1.3333333333333333,18.0,140.46907424926758,302.9189109802246
13.png,768,512,rle,30.644963391581253,1179648,232015.0,5.0843609249401975,4.720357259114583,181.33091926574707,381.6242218017578
13.png,768,512,huff,30.644963391581253,1179648,52261.75,22.57191923347381,1.0632680257161458,369.5080280303955,601.2880802154541
13.png,768,512,huff_global,30.644963391581253,1179648,80400.0,14.67223880597015,1.6357421875,270.6873416900635,507.8389644622803
13.png,768,512,huff_dpcm,30.644963391581253,1179648,51079.5,23.094352920447538,1.039215087890625,299.2720603942871,527.8782844543457
14.png,768,512,raw,32.392247439743215,1179648,884736.0,1.3333333333333333,18.0,133.09383392333984,295.34912109375
14.png,768,512,rle,32.392247439743215,1179648,171654.0,6.872243000454403,3.4923095703125,169.19708251953125,363.2950782775879
14.png,768,512,huff,32.392247439743215,1179648,36222.75,32.566494813342445,0.7369537353515625,275.0420570373535,689.2280578613281
14.png,768,512,huff_global,32.392247439743215,1179648,60809.5,19.399074157820735,1.2371724446614583,265.714168548584,524.1682529449463
14.png,768,512,huff_dpcm,32.392247439743215,1179648,35125.0,33.5842846975089,0.7146199544270834,261.4319324493408,479.6712398529053
15.png,768,512,raw,34.43991995395502,1179648,884736.0,1.3333333333333333,18.0,132.86399841308594,295.8378791809082
15.png,768,512,rle,34.43991995395502,1179648,98838.0,11.935166636313967,2.0108642578125,156.89802169799805,345.64208984375
15.png,768,512,huff,34.43991995395502,1179648,19092.5,61.785936886211864,0.3884379069010417,233.16025733947754,441.50233268737793
15.png,768,512,huff_global,34.43991995395502,1179648,38368.625,30.745120524908046,0.7806116739908854,250.57268142700195,461.3521099090576
15.png,768,512,huff_dpcm,34.43991995395502,1179648,18279.25,64.53481406512849,0.3718922932942708,223.2990264892578,435.3199005126953
16.png,768,512,raw,34.326754815985524,1179648,884736.0,1.3333333333333333,18.0,139.58215713500977,312.5598430633545
16.png,768,512,rle,34.326754815985524,1179648,116024.0,10.16727573605461,2.3605143229166665,167.36102104187012,356.7061424255371
16.png,768,512,huff,34.326754815985524,1179648,22784.5,51.774144703636246,0.4635518391927083,239.14790153503418,444.3378448486328
16.png,768,512,huff_global,34.326754815985524,1179648,42389.25,27.828942479520162,0.8624114990234375,248.5339641571045,460.5088233947754
16.png,768,512,huff_dpcm,34.326754815985524,1179648,21362.125,55.22147258290081,0.43461354573567706,226.11403465270996,433.4571361541748
17.png,512,768,raw,34.98624611385103,1179648,884736.0,1.3333333333333333,18.0,133.6660385131836,297.4982261657715
17.png,512,768,rle,34.98624611385103,1179648,111955.5,10.536757908276057,2.277740478515625,166.20802879333496,369.28772926330566
17.png,512,768,huff,34.98624611385103,1179648,22218.125,53.09394919688317,0.45202891031901044,231.73975944519043,435.5959892272949
17.png,512,768,huff_global,34.98624611385103,1179648,41707.5,28.283833842834024,0.848541259765625,247.0989227294922,462.5437259674072
17.png,512,768,huff_dpcm,34.98624611385103,1179648,21362.0,55.22179571201198,0.4346110026041667,227.89907455444336,436.2361431121826
18.png,512,768,raw,32.37775062646151,1179648,884736.0,1.3333333333333333,18.0,139.61100578308105,302.6289939880371
18.png,512,768,rle,32.37775062646151,1179648,166851.0,7.0700685042343165,3.39459228515625,170.34077644348145,365.28897285461426
18.png,512,768,huff,32.37775062646151,1179648,35392.125,33.33080452219244,0.7200546264648438,267.1518325805664,482.10883140563965
18.png,512,768,huff_global,32.37775062646151,1179648,58903.875,20.02666208292748,1.1984024047851562,264.74785804748535,495.06306648254395
18.png,512,768,huff_dpcm,32.37775062646151,1179648,34406.0,34.2861128872871,0.6999918619791666,258.7559223175049,483.49976539611816
19.png,512,768,raw,33.556500247055496,1179648,884736.0,1.3333333333333333,18.0,141.6640281677246,305.0539493560791
19.png,512,768,rle,33.556500247055496,1179648,127088.0,9.282135213395442,2.5856119791666665,165.50111770629883,360.3072166442871
19.png,512,768,huff,33.556500247055496,1179648,25672.875,45.94919735323761,0.5223159790039062,254.52899932861328,465.26098251342773
19.png,512,768,huff_global,33.556500247055496,1179648,47152.125,25.01791806837974,0.9593124389648438,251.7831325531006,466.7932987213135
19.png,512,768,huff_dpcm,33.556500247055496,1179648,24567.125,48.017340246365826,0.49981943766276044,243.79992485046387,453.4327983856201
2.png,768,512,raw,33.79089516023136,1179648,884736.0,1.3333333333333333,18.0,133.5897445678711,296.7560291290283
2.png,768,512,rle,33.79089516023136,1179648,101256.0,11.6501540649443,2.06005859375,157.5629711151123,348.2019901275635
2.png,768,512,huff,33.79089516023136,1179648,19087.625,61.801717081093116,0.38833872477213544,224.12586212158203,428.65920066833496
2.png,768,512,huff_global,33.79089516023136,1179648,36769.75,32.082023946314564,0.7480824788411459,245.56398391723633,454.15616035461426
2.png,768,512,huff_dpcm,33.79089516023136,1179648,17637.25,66.8838962990262,0.3588307698567708,220.63922882080078,424.7150421142578
20.png,768,512,raw,35.006464647200836,1179648,884736.0,1.3333333333333333,18.0,148.68998527526855,324.13220405578613
20.png,768,512,rle,35.006464647200836,1179648,90742.0,13.000022040510459,1.8461507161458333,156.7099094390869,347.6698398590088
20.png,768,512,huff,35.006464647200836,1179648,17825.375,66.17801869525887,0.36265818277994794,216.66407585144043,418.92027854919434
20.png,768,512,huff_global,35.006464647200836,1179648,35449.625,33.27674129133947,0.7212244669596354,245.31197547912598,452.2969722747803
20.png,768,512,huff_dpcm,35.006464647200836,1179648,16645.125,70.87048009552346,0.33864593505859375,218.37687492370605,421.1897850036621
21.png,768,512,raw,33.376769771501536,1179648,884736.0,1.3333333333333333,18.0,138.81516456604004,304.65006828308105
21.png,768,512,rle,33.376769771501536,1179648,129430.0,9.114177547709186,2.6332600911458335,159.29913520812988,350.21209716796875
21.png,768,512,huff,33.376769771501536,1179648,27236.125,43.31188816323908,0.5541203816731771,244.4009780883789,453.1900882720947
21.png,768,512,huff_global,33.376769771501536,1179648,48069.375,24.540531263408354,0.9779739379882812,251.27673149108887,465.7261371612549
21.png,768,512,huff_dpcm,33.376769771501536,1179648,26097.125,45.202220551114344,0.5309473673502604,237.32566833496094,447.8781223297119
22.png,768,512,raw,33.168847276153805,1179648,884736.0,1.3333333333333333,18.0,134.1879367828369,297.26696014404297
22.png,768,512,rle,33.168847276153805,1179648,135464.0,8.708202917380264,2.7560221354166665,172.67107963562012,364.4518852233887
22.png,768,512,huff,33.168847276153805,1179648,27174.5,43.41010874165118,0.5528666178385416,241.83106422424316,450.4687786102295
22.png,768,512,huff_global,33.168847276153805,1179648,48213.5,24.46717205761872,0.9809061686197916,253.2038688659668,469.2051410675049
22.png,768,512,huff_dpcm,33.168847276153805,1179648,25997.375,45.37565811932936,0.5289179484049479,246.73008918762207,456.83813095092773
23.png,768,512,raw,35.91661771509859,1179648,884736.0,1.3333333333333333,18.0,153.70774269104004,317.7828788757324
23.png,768,512,rle,35.91661771509859,1179648,80838.0,14.592741037630818,1.6446533203125,155.33113479614258,343.75810623168945
23.png,768,512,huff,35.91661771509859,1179648,14730.625,80.08132716704145,0.29969533284505206,213.17791938781738,411.6799831390381
23.png,768,512,huff_global,35.91661771509859,1179648,31625.625,37.30038536787811,0.6434249877929688,240.70286750793457,445.4479217529297
23.png,768,512,huff_dpcm,35.91661771509859,1179648,14092.5,83.70750399148483,0.286712646484375,214.1880989074707,415.6498908996582
24.png,768,512,raw,32.79682583019154,1179648,884736.0,1.3333333333333333,18.0,139.387845993042,311.5370273590088
24.png,768,512,rle,32.79682583019154,1179648,162899.5,7.241569188364605,3.3141988118489585,169.14701461791992,363.3139133453369
24.png,768,512,huff,32.79682583019154,1179648,34753.75,33.943042117757074,0.7070668538411459,265.1081085205078,478.5499572753906
24.png,768,512,huff_global,32.79682583019154,1179648,58444.25,20.18415840737113,1.1890513102213542,257.1251392364502,479.10571098327637
24.png,768,512,huff_dpcm,32.79682583019154,1179648,33790.875,34.91025313786636,0.6874771118164062,264.1918659210205,480.79586029052734
3.png,768,512,raw,35.635469137873564,1179648,884736.0,1.3333333333333333,18.0,133.1799030303955,296.15116119384766
3.png,768,512,rle,35.635469137873564,1179648,88970.0,13.258941216140272,1.8100992838541667,155.59816360473633,344.59495544433594
3.png,768,512,huff,35.635469137873564,1179648,16747.25,70.43831076743943,0.3407236735026042,252.14099884033203,453.27186584472656
3.png,768,512,huff_global,35.635469137873564,1179648,34436.625,34.255621739935314,0.7006149291992188,243.31998825073242,452.3191452026367
3.png,768,512,huff_dpcm,35.635469137873564,1179648,15701.25,75.13083353236208,0.3194427490234375,215.27981758117676,420.48096656799316
4.png,512,768,raw,34.1399006404665,1179648,884736.0,1.3333333333333333,18.0,133.63218307495117,299.0679740905762
4.png,512,768,rle,34.1399006404665,1179648,111174.0,10.610826272329861,2.2618408203125,157.91082382202148,348.6490249633789
4.png,512,768,huff,34.1399006404665,1179648,21451.625,54.99107876442927,0.43643442789713544,237.9896640777588,443.5610771179199
4.png,512,768,huff_global,34.1399006404665,1179648,41174.0,28.650313304512558,0.8376871744791666,250.74195861816406,465.2669429779053
4.png,512,768,huff_dpcm,34.1399006404665,1179648,20431.375,57.73708328489884,0.41567738850911456,222.2766876220703,428.87091636657715
5.png,768,512,raw,31.680160466409024,1179648,884736.0,1.3333333333333333,18.0,138.37528228759766,302.49810218811035
5.png,768,512,rle,31.680160466409024,1179648,204420.0,5.7707073671852065,4.158935546875,174.5929718017578,419.22998428344727
5.png,768,512,huff,31.680160466409024,1179648,45370.375,26.000402244856915,0.9230626424153646,319.65017318725586,576.8110752105713
5.png,768,512,huff_global,31.680160466409024,1179648,73529.375,16.04322082161041,1.495958964029948,453.0661106109619,748.4879493713379
5.png,768,512,huff_dpcm,31.680160466409024,1179648,44461.25,26.532047569512777,0.9045664469401041,291.2299633026123,517.8351402282715
