image,width,height,method,psnr,time_idct_ms,time_total_ms,time_dct_ms,time_upsample_ms
12.png,768,512,lut,35.30016247157838,39181.06007575989,39475.5380153656,233.06775093078613,0.0
12.png,768,512,fft,30.589168191446376,872.0266819000244,1245.5172538757324,306.5612316131592,0.0
12.png,768,512,aan,27.85303739663663,120.25237083435059,407.37175941467285,226.98712348937988,0.0
13.png,768,512,baseline,30.644963391581253,149.69110488891602,600.0540256500244,378.2336711883545,9.971857070922852
13.png,768,512,vectorized,30.644963391581253,125.88691711425781,535.9907150268555,346.32277488708496,9.946107864379883
13.png,768,512,direct,30.644963391581253,127.9599666595459,558.8738918304443,361.84191703796387,1.7697811126708984
13.png,768,512,separable,30.644963391581253,9870.458364486694,10288.519620895386,339.6577835083008,0.0
13.png,768,512,lut,30.644963391581253,39550.644636154175,39987.92099952698,367.5193786621094,1.4221668243408203
13.png,768,512,fft,28.19285298525656,890.1751041412354,1286.3125801086426,332.91006088256836,1.577615737915039
13.png,768,512,aan,27.789113985515105,148.65589141845703,537.9793643951416,321.582555770874,2.005338668823242
14.png,768,512,baseline,32.392247439743215,153.397798538208,531.9616794586182,316.50424003601074,2.0034313201904297
14.png,768,512,vectorized,32.392247439743215,133.69059562683105,500.40507316589355,304.75521087646484,2.0034313201904297
14.png,768,512,direct,32.392247439743215,151.11374855041504,525.9573459625244,310.9281063079834,2.047300338745117
14.png,768,512,separable,32.392247439743215,10129.751920700073,10483.737707138062,288.13958168029785,2.097606658935547
14.png,768,512,lut,32.392247439743215,43438.14182281494,43822.64590263367,297.55187034606934,4.049777984619141
14.png,768,512,fft,28.624419297801794,989.8204803466797,1399.958848953247,333.82415771484375,2.02178955078125
14.png,768,512,aan,27.760358491637724,157.81116485595703,551.8133640289307,312.4368190765381,3.531932830810547
15.png,768,512,baseline,34.43991995395502,333.9872360229492,1039.468765258789,602.4436950683594,3.0057430267333984
15.png,768,512,vectorized,34.43991995395502,239.82715606689453,916.8071746826172,571.3276863098145,4.530668258666992
15.png,768,512,direct,34.43991995395502,239.83454704284668,918.9820289611816,573.5900402069092,3.0159950256347656
15.png,768,512,separable,34.43991995395502,27371.23155593872,27989.67742919922,527.0805358886719,2.377748489379883
15.png,768,512,lut,34.43991995395502,94750.26655197144,95389.06025886536,546.6513633728027,2.5119781494140625
15.png,768,512,fft,30.758910410197274,2386.5339756011963,3050.7965087890625,572.1590518951416,2.6671886444091797
15.png,768,512,aan,27.691575582349163,274.930477142334,915.1084423065186,545.3894138336182,2.002239227294922
16.png,768,512,baseline,34.326754815985524,344.50340270996094,1028.2819271087646,588.9482498168945,2.735137939453125
16.png,768,512,vectorized,34.326754815985524,230.30471801757812,890.4638290405273,560.6114864349365,2.5115013122558594
16.png,768,512,direct,34.326754815985524,240.08488655090332,909.3589782714844,576.7529010772705,2.278566360473633
16.png,768,512,separable,34.326754815985524,27278.554439544678,27927.513599395752,557.7411651611328,2.012014389038086
16.png,768,512,lut,34.326754815985524,94288.45405578613,94951.04122161865,570.0249671936035,2.0062923431396484
16.png,768,512,fft,29.85966311332808,2419.8272228240967,3074.446678161621,562.9236698150635,2.0139217376708984
16.png,768,512,aan,27.966856929078862,273.46301078796387,935.4395866394043,570.4104900360107,3.059864044189453
17.png,512,768,baseline,34.98624611385103,344.07615661621094,1043.9467430114746,605.8864593505859,3.0024051666259766
17.png,512,768,vectorized,34.98624611385103,241.23668670654297,908.7333679199219,567.56591796875,2.5076866149902344
17.png,512,768,direct,34.98624611385103,241.38665199279785,924.8137474060059,591.141939163208,2.002239227294922
17.png,512,768,separable,34.98624611385103,23393.3584690094,24051.060676574707,579.0081024169922,2.5482177734375
17.png,512,768,lut,34.98624611385103,95788.85006904602,96121.9871044159,255.71537017822266,3.173828125
17.png,512,768,fft,29.95295736641832,2421.004056930542,3106.1480045318604,582.5793743133545,3.036975860595703
