image,width,height,downsample_method,upsample_method,entropy_method,psnr,original_bytes,compressed_bytes,compression_ratio,bpp,time_downsample_ms,time_upsample_ms,time_encoding_ms,total_time_ms
14.png,768,512,baseline,baseline,baseline,32.392247439743215,1179648,150648.75,7.830453289522814,3.0649566650390625,7.983684539794922,0.0,577.312707901001,950.0265121459961
14.png,768,512,nearest,baseline,baseline,32.33091856281206,1179648,151099.625,7.807087542407865,3.0741297403971353,1.0139942169189453,17.592906951904297,599.6549129486084,968.6200618743896
14.png,768,512,average,baseline,baseline,32.392247439743215,1179648,150648.75,7.830453289522814,3.0649566650390625,0.0,0.865936279296875,560.889482498169,934.0012073516846
15.png,768,512,baseline,baseline,baseline,34.43991995395502,1179648,94976.75,12.420387094736343,1.9323069254557292,1.8770694732666016,8.002758026123047,521.5568542480469,914.9730205535889
15.png,768,512,nearest,baseline,baseline,34.365610503470194,1179648,95238.75,12.386218844745443,1.9376373291015625,0.0,16.742944717407227,527.3945331573486,924.5002269744873
15.png,768,512,average,baseline,baseline,34.43991995395502,1179648,94976.75,12.420387094736343,1.9323069254557292,18.175363540649414,0.0,496.8380928039551,901.0860919952393
16.png,768,512,baseline,baseline,baseline,34.326754815985524,1179648,107055.375,11.019045050283557,2.1780471801757812,13.36526870727539,0.0,509.7072124481201,917.4611568450928
16.png,768,512,nearest,baseline,baseline,34.28277248946685,1179648,107175.5,11.006694627036962,2.1804911295572915,0.0,0.0,528.8693904876709,884.2146396636963
16.png,768,512,average,baseline,baseline,34.326754815985524,1179648,107055.375,11.019045050283557,2.1780471801757812,10.931253433227539,0.0,517.3661708831787,884.058952331543
17.png,512,768,baseline,baseline,baseline,34.98624611385103,1179648,106450.0,11.081709722874589,2.1657307942708335,6.595849990844727,1.5573501586914062,524.6727466583252,901.2300968170166
17.png,512,768,nearest,baseline,baseline,34.9848975915888,1179648,106499.875,11.0765200428639,2.1667455037434897,0.0,0.0,545.0632572174072,917.9139137268066
17.png,512,768,average,baseline,baseline,34.98624611385103,1179648,106450.0,11.081709722874589,2.1657307942708335,6.031274795532227,0.0,525.8264541625977,901.947021484375
18.png,512,768,baseline,baseline,baseline,32.37775062646151,1179648,145287.625,8.119397643123426,2.9558842976888022,9.520530700683594,0.0,642.5304412841797,1038.9103889465332
18.png,512,768,nearest,baseline,baseline,32.35980915895526,1179648,145559.125,8.104253168600732,2.9614079793294272,0.0,0.0,598.8073348999023,1051.0714054107666
18.png,512,768,average,baseline,baseline,32.37775062646151,1179648,145287.625,8.119397643123426,2.9558842976888022,6.041288375854492,4.348278045654297,624.0947246551514,1071.4564323425293
19.png,512,768,baseline,baseline,baseline,33.556500247055496,1179648,115920.5,10.176353621663123,2.3584086100260415,12.591123580932617,0.0,588.0997180938721,1017.6405906677246
19.png,512,768,nearest,baseline,baseline,33.54255823253473,1179648,116036.0,10.16622427522493,2.3607584635416665,0.0,0.0,512.364387512207,884.1605186462402
19.png,512,768,average,baseline,baseline,33.556500247055496,1179648,115920.5,10.176353621663123,2.3584086100260415,5.002737045288086,0.0,549.1447448730469,934.201717376709
2.png,768,512,baseline,baseline,baseline,33.79089516023136,1179648,96687.875,12.20057840758213,1.967119852701823,7.994890213012695,0.0,484.74574089050293,865.1275634765625
2.png,768,512,nearest,baseline,baseline,33.61762691215528,1179648,96938.0,12.169097773834823,1.9722086588541667,0.0,0.0,529.1547775268555,916.3551330566406
2.png,768,512,average,baseline,baseline,33.79089516023136,1179648,96687.875,12.20057840758213,1.967119852701823,5.044221878051758,16.6623592376709,502.52628326416016,867.4399852752686
20.png,768,512,baseline,baseline,baseline,35.006464647200836,1179648,87079.625,13.54677400138092,1.7716395060221355,9.409427642822266,7.193565368652344,488.3453845977783,866.0390377044678
20.png,768,512,nearest,baseline,baseline,34.980859169932614,1179648,87213.875,13.525921190865558,1.774370829264323,0.0,16.855716705322266,492.0363426208496,866.0461902618408
20.png,768,512,average,baseline,baseline,35.006464647200836,1179648,87079.625,13.54677400138092,1.7716395060221355,9.402036666870117,4.244089126586914,468.05787086486816,900.7658958435059
